epoch,train_loss,val_loss
1,119.11728656223842,51.264894053141276
2,46.978005946023124,42.17279026031494
3,39.81156189237322,49.904750226338706
4,34.20404058183942,27.023868052164712
5,30.56118540082659,26.648786125183104
6,28.61168693814959,33.974480895996095
7,23.858610523768835,23.438047517140706
8,22.225285685403005,27.46477626800537
9,19.69548034940447,20.819095408121743
10,19.44574026107788,23.70988707224528
11,16.997828811917987,30.757703450520832
12,17.04310612814767,16.087729473114013
13,16.29408781187875,20.647274278004964
14,16.876464490890502,26.68978853861491
15,16.095026475361415,18.52162706375122
16,13.901125349998473,27.10113478342692
17,16.081456679616657,20.10805212020874
18,14.274572522980826,15.995579258600872
19,14.284269915989467,29.3791437403361
20,12.942200856889997,21.284777590433755
21,12.635336771011353,14.864330329895019
22,12.509291584151132,15.762226578394571
23,11.798183567864553,19.890034039815266
24,12.359486865997315,21.400888284047443
25,12.620169283321925,17.721553999582927
26,10.88183564731053,19.252997964223226
27,11.480854568481446,15.616334877014161
28,11.253395610536847,19.5822811126709
29,10.894183978353228,19.288178672790526
30,11.646204637799944,16.932684485117594
31,9.971972336769104,17.92788921991984
32,9.942493327685765,16.965640033086142
33,9.384425883974348,21.79229211807251
34,9.066275268963405,16.13942273457845
35,9.365179134096419,19.37060655593872
36,9.29754954133715,17.351605402628582
37,9.451203276770455,20.13256980260213
38,8.883523224762508,20.68773427963257
39,9.022944334575108,16.65674466451009
40,8.538492651666914,17.41644458770752
41,8.934841616494316,19.485691947937013
42,8.619868512153625,18.15049945831299
43,7.617895673683711,17.52700465520223
44,8.303496291296822,19.448357467651366
45,7.375006915841784,17.703895975748697
46,7.253918232917786,17.4837047958374
47,7.30426535163607,20.11680643717448
48,8.210293529374258,17.608136539459228
49,6.845730296543667,16.73974385579427
50,7.141576544216701,20.01998415629069
